Video_ID,Komentar,Jumlah_Suka
lslu0_8OynQ,"Kan itu sudah disebutkan pada waktu masa berkabung bencana alam besar terjadi di Aceh Sumut dan Sumbar. Saat itu Prabowo berpidato di hari ulang tahun golkar dg statement yg sangat bertolak belakang dg apapun itu yg disebut kebaikan bahkan tak ada sedikitpun empati utk kemanusiaan dari mulut seorang presiden. Tak usah khawatir dg deforestasi, justru Prabowo akan menambah atau memperluas lahan sawit dg membuka hutan di Papua. Artinya, kemungkinan kegiatan ini sebetulnya sudah direncanakan jauh hari sebelum Prabowo menjadi seorang presiden.",0
lslu0_8OynQ,Belum   bisa  lihat  PESTA  BABI,0
lslu0_8OynQ,Papua  tanah yang  bgtu kaya SDA nya  tp rakyat nya  msh jauh dr makmur. Gambaran Indonesia  secara keseluruhan. Bgmna  pemegang kekuasaan  mengelola negara ini.,0
lslu0_8OynQ,"Dulu waktu kecil, setiap melihat berita tentang GAM dan OPM selalu bertanya2 kenapa ingin pisah? Apakah terlalu jauh dri pusat ibu kota? YA ALLAH, JAWABAN NYA TIDAK SESIMPLE ITU. TERNYATA PEMERINTAH, ORG2 BERKUASA YG PUNYA MODAL ITU MENJAJAH ACEH DAN PAPUA, begitu keji nya. Astagfirullah, ya allah jaga saudara2 ku di Aceh dan Papua 😢😢",0
lslu0_8OynQ,avatar melawan manusia langit,0
lslu0_8OynQ,Panjang umur perjuangan!!!!!,0
lslu0_8OynQ,GOAT dandhy sang gelandang pengatur perpolitikan 😂,0
lslu0_8OynQ,Harus diam diam pasang CCTV di hutan Papua 10 tahun baru di pubikasikan,0
lslu0_8OynQ,Harus diam diam pasang CCTV di hutan Papua 10 tahun baru di pubikasikan,0
lslu0_8OynQ,Gila effort 4th konsisten dn hasilnya dijegal dmn2,0
lslu0_8OynQ,Mba ica lama ga keliatan 😢 kemana kah?,0
lslu0_8OynQ,"papua itu kaya, bayangkan mancing ikan pakai pancing biasa saja hasilnya sangat banyak, pempuslah dan pengusaha serakah yang bikin miskin",1
lslu0_8OynQ,"Sehat-sehat selalu untuk Om Dandhy dan tim Watchdoc sekeluarga, semoga selalu dalam lindungan Allah swt.🙏",0
lslu0_8OynQ,Pengen nonton. Separah apa di Papua 😢😢😢,0
lslu0_8OynQ,19:50 bener lagi ngalamin mati internet berhari-hari ya sapa lagi yang bikin kalo bukan dari government sendiri kan....,0
lslu0_8OynQ,"they have been around since 80 years +, their hidden hands are everywhere...the konoha story",0
lslu0_8OynQ,Bubar yok,0
lslu0_8OynQ,"Tempo tak lekang oleh waktu....
Alanjuuuut bang berkreasi...",0
lslu0_8OynQ,Apa salahnya orang makan Babi,0
lslu0_8OynQ,👍,0
lslu0_8OynQ,JANGAN PERCAYA POLISI DAN TNI!,0
lslu0_8OynQ,"Bagi orang awam seperti saya, itu menggambarkan pestanya para pejabat dan oligarki yg membuka lahan sawit dan tambang, memang b*b* sih.",1
lslu0_8OynQ,Luar biasa karya Sutradara Dandhy Dwi Laksono,0
lslu0_8OynQ,"Ayo rakyat papua lawan jangan diam, suarakan sampai PBB, uni eropa, demo terus, tanah tumpah darahmu akan dihancurkan oleh manusia-2 tamak, korupt dan maling.",0
lslu0_8OynQ,"Sy ""Bangga"" ada PIGAI n BAHLIL yg mewakili masy PAPUA...tp, ""LUPA"" Kampung dn Masy nya...😭😭",0
lslu0_8OynQ,"turun satu, tumbuh seribu. jaman gue SD, Indonesia terkenal sebagai salah satu paru-paru dunia. Sumatra, Kalimantan, sampai Papua. tapi semakin hari hutan-hutan Sumatra dan Kalimantan digunduli, pohonnya diganti. Papua yang dari dulu perutnya terus digali, kini pohonnya mau diganti juga. Papua yang dari dulu dianak tirikan, kini benar-benar mau diasingkan. 

kalo sampai ada intimidasi dan represi terhadap penayangan film Pesta Babi, berarti ada segelintir pihak yang resah dan gelisah karena kenyamanannya yang selama ini tertutup disentuh dan di-spill. Hidup rakyat Papua.",0
lslu0_8OynQ,Mark my words : Sooner or later PAPUA will be free!!!,0
lslu0_8OynQ,Masyarakat adat yg harus dicerdaskan karna mereka begitu lihat uang milyaran langsung luluh lantah karna uang lepas hak ulayat,0
lslu0_8OynQ,Prabowo dalam sejarah Indonesia presiden jahat dan sering mengejek masyarakat presiden sebegok TDK punya etika,0
lslu0_8OynQ,Terima kasih. Berbobot positif.,0
lslu0_8OynQ,MERDEKA ATAU MATIII,1
lslu0_8OynQ,"Seharusnya kita semua bangsa Indonesia yg memperjuagkan dan melindungi Papua dengan ""SAVE PAPUA"". Karena Papua bagian dari kita. Bukan malah menyuruh merdeka. Mereka butuh perlindungan bukan kemerdekaan.",0
lslu0_8OynQ,Kalau pesantten ustad dan kiay yg  cabul santieati DPR tidak bubarkan sekolah pesantten,0
lslu0_8OynQ,"Damn 60th ... Wajar Papua ingin MERDEKA ... Kalo masyarakat adatnya dilibatkan, dipintarkan, dimakmurkan, cita"" lumbung Padi, kebun tebu, dll akan baik baik saja, tapi ternyata ini...""seperti Lo punya rumah, maling masuk ambilin barang Lo terus Lo cuma bisa liatin. Bengong doang""...MELEK YU, KALIMANTAN, SUMATERA, SULAWESI UDAH JADI VICTIM, PAPUA ITS NEXT...TUHAAAAN.",0
lslu0_8OynQ,Oligarki musuh utama...,0
lslu0_8OynQ,Tenang kan masih ada Jokowi bapak penyelamat Papua,0
lslu0_8OynQ,Pemerintah hrs dituntut utk terbuka dan perlu dikoordinasikan dgn parpol2 ekstra parlemen agr bersama rakyat melakukan perlawanan pd represifnya negara saat ini.,0
lslu0_8OynQ,Kebijakan pemerintah selalu memprioritaskan kebutuhan rakyat kecil,0
lslu0_8OynQ,"Wahai para MAJIKAN, Jadikan momentum 'Pesta-Babi' --->'Extreme-ReVoLuTioN' NepaL-keuN! Para Babu TuLi, greedy, bin zhaLim! Sdh cukup jd korban rahajat AtjeH, borneo, celebes, dll. Khususnya saudara kita dr papua ini semenjak oRBa-cendaNo... Saatnya 'people-poWER' yg ber-bicara, am totally bloody damn sick 'n tired of thiz cruel ReGiMe, wakep up buddy, paL$! ❤❤❤",0
lslu0_8OynQ,Wkwk diulti tepi jurang,0
lslu0_8OynQ,Kebijakan baru pemerintah jadi penyemangat masyarakat untuk tetap percaya pada masa depan,0
lslu0_8OynQ,Kini makin banyak masyarakat yang sadar akan manfaat kebijakan pemerintah,0
lslu0_8OynQ,Perang narasi sih menurut pandangan ku heew,0
lslu0_8OynQ,ok,0
lslu0_8OynQ,"Saya belum nonton film pesta babi.

Tapi apakah Tempo dan pendirinya sudah minta maaf kepada publik, karena pernah mendukung si Mulyono sang perusak negara?. Saya sebagai pendukung golput garis keras kadang selalu pengen ketawa sama Tempo dan Gunawan Muhammad. Sok pengen buat perubahan, sok memantik revolusi lah apa lah. Tapi mereka sendiri awalnya yg mendukung kerusakan itu, dalihnya kena tipu pula. Padahal ada opsi GOLPUT dan boykot pemilu dulu, ajak rakyat buat golput. Kenapa malah milih dukung Mulyono? Awokawok.",0
lslu0_8OynQ,"Yang larang beberapa titik nobar film pesta babi Tentara yg dibubarkan dan sekarang tentara jadi cacing kepanasan 
Tentara Indonesia",0
lslu0_8OynQ,Negara yang tertunda. Free papua ❤,0
lslu0_8OynQ,TRENDING KAN ❤,0
lslu0_8OynQ,"""SELAMAT"" KEPADA ANDA YG SUDAH MEMILIH PRABOWO SEBAGAI PRESIDEN REPUBLIK INDONESIA !!!!!.... SEKALI LAGI ""SELAMAT"" & ""SELAMAT"" MENIKMATI  👏👏👏👏👏👏",0
